[2025-10-29 09:40:58] CDMA04761 | Pearlbaby, 0theo | brand new love | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 09:42:50] CDMA04748 | Tina Groove | Bubble Pop | KR: genie | Found 1/5 platforms
[2025-10-29 09:43:49] CDMA04729 | 행복한피자빵 | 미안한데 | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 09:44:44] CDMA04678 | 로몬스 | Lomon's dream | KR: bugs, vibe | Found 2/5 platforms
[2025-10-29 09:45:36] CDMA04670 | NY KID, NY DOGG | 너와 함께라면 | KR: flo, genie, melon | Found 3/5 platforms
[2025-10-29 09:46:29] CDMA04662 | 행복한피자빵 | 액자 속에 내가 든 | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 09:47:22] CDMA04636 | Lucas | 가출 꿈 | KR: genie | Found 1/5 platforms
[2025-10-29 09:48:15] CDMA04623 | 비트건(BEAT GUN) | Wäin oder Wodka | KR: flo, melon, vibe | Found 3/5 platforms
[2025-10-29 09:49:07] CDMA04615 | 룡운 | Ghosts with Sneakers | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 09:50:00] CDMA04579 | 행복한피자빵 | 중2야 | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 09:51:59] CDMA04557 | 정승민(D-track),Beenssalo,Dong-gil,주안(ZUAN) | Half way | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 09:53:01] CDMA04550 | (E)AnD-Y (엔드와이), 에프비 (Fbe), 오원탁 | Staff Olny (In Summer) | KR: genie | Found 1/5 platforms
[2025-10-29 09:54:05] CDMA04547 | 헤아림 (HÉARiM) | 헤는 밤 | KR: bugs, melon, vibe | Found 3/5 platforms
[2025-10-29 09:55:04] CDMA04538 | 류민서 | Lost | KR: bugs | Found 1/5 platforms
[2025-10-29 09:56:04] CDMA04524 | KUNN, Coincide | overthink | KR: bugs, genie, vibe | Found 3/5 platforms
[2025-10-29 09:57:56] CDMA04518 | Coincide,KUNN | Runaway | KR: genie, vibe | Found 2/5 platforms
[2025-10-29 09:58:53] CDMA04515 | Coincide,Chansoo | Ride With Me | KR: genie | Found 1/5 platforms
[2025-10-29 09:59:49] CDMA04513 | GAMBLR. | ONLY ONE | KR: genie, vibe | Found 2/5 platforms
[2025-10-29 10:20:18] CDMA04484 | Jaymensy (제이멘시) | 고군분투 | KR: flo, genie, melon, vibe | Found 4/5 platforms
[2025-10-29 10:37:06] CDMA04463 | Asi.K (애시케이), 살로 (SALO) | BFTL Boys From The Last | KR: bugs, genie, melon, vibe | Found 4/5 platforms
[2025-10-29 10:40:30] CDMA04460 | kimhugo | RS | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 10:54:36] CDMA04447 | 누시 | Numb | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 11:01:35] CDMA04440 | ETIK, MATA, Pablo Wang | South Side | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 11:04:41] CDMA04437 | Neo Value | 네오밸류 | KR: genie, melon | Found 2/5 platforms
[2025-10-29 11:11:19] CDMA04431 | Mood | 짝사랑 | KR: bugs, genie, melon, vibe | Found 4/5 platforms
[2025-10-29 11:16:42] CDMA04426 | Hanmoo | Hanmoo history | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 11:26:13] CDMA04419 | 크리스 가디(CHRIS GUARDY) | POST A JEALOUSY | KR: bugs, flo, melon | Found 3/5 platforms
[2025-10-29 11:29:16] CDMA04416 | Lynte, BIGWISE | Money, Love & Peace | KR: bugs, flo, melon, vibe | Found 4/5 platforms
